time,tweet
1/29/2020 10:28,"RT @NBAonTNT: “Every time I see you guys, expect an ‘I love you.’” - @SHAQ ❤️ https://t.co/tQQpVEJa6k"
1/26/2020 20:25,Kobe was a real life super hero on that court &amp; I’m sure he was one to his family. Sending love and prayers to them. This is heartbreaking.
1/20/2020 22:31,Wanted to wish everyone a Happy Martin Luther King Day! https://t.co/oiabltao2l
1/20/2020 22:23,Nah! https://t.co/a01vjusZOJ
1/19/2020 20:40,We must. 🥂 https://t.co/2jNeKORa2o
1/19/2020 20:38,😢 I miss this. https://t.co/3mKj6wVsTl
1/19/2020 20:10,"Here’s a little more sunshine for your Sunday.
#ForeverValentine By Charlie Wilson. 

https://t.co/z0hFoTLT9p"
1/19/2020 19:55,😏 https://t.co/m3pRAN81Rg
1/16/2020 23:31,The world could use a little love right about now and who better to bring it to you than one of the greatest of all… https://t.co/pRRsKudamc
1/15/2020 22:35,Look at @fauntleroy! You jus a lil baby angel James.  Happy 1500 Day in LA! 🌴 🥂 https://t.co/warRpLLLYn
1/15/2020 21:32,🐾 https://t.co/4bnk0kygA1
1/10/2020 1:35,❤️ Thank you @naacpimageaward congrats fellas! 🥂 https://t.co/CXCjiLZsnz
1/5/2020 10:14,RT @revolttv: Let’s send love and prayers to all those who are fighting for this country.   🙏🏾 https://t.co/YwErmsMlWo
1/5/2020 10:12,Sending love to Australia.
1/5/2020 10:09,RT @w0rldleadir: THIS IS WORTH A VIEWING https://t.co/T81Mkuap5C
1/2/2020 22:48,RT @jamareoartis: Jammin into 2020 from Abu Dhabi https://t.co/nZQN2Gj1XP
12/24/2019 22:41,"Merry Christmas Hooligans. 
Sincerely, The Brunz 🎄"
12/12/2019 11:23,😂 just dramatic https://t.co/qn1ci4spGH
12/12/2019 11:11,😂 I’m good. Thanks for checkin up. https://t.co/W4ewFbGT7F
12/8/2019 23:05,https://t.co/VFtgpwD6QB
11/26/2019 11:10,Now watching 🚀 https://t.co/aSbXmSPPIU
11/25/2019 8:51,Thank you Hooligans and Thank you @AMAs 🥂 ❤️
11/18/2019 18:31,"RT @parkmgm: It's showtime. Guess whose back again! 
@BrunoMars returns to Park MGM for additional dates in March and April 2020! 
Tickets…"
11/18/2019 18:27,Good luck! Tell them I’m taller in person. https://t.co/jqzVl5JzgB
11/3/2019 1:31,SATURDAY NIGHT! 🤪🔥🍻🍸🍾 https://t.co/PVOEy85rgh
10/31/2019 20:56,🎃🎃🎃🎃 https://t.co/cKpYXVBwDC
10/31/2019 20:55,HAPPY HALLOWEEN 👻 https://t.co/i4N8bMoHnH
10/25/2019 5:36,Ayyyeee! Thank you @AMAs 🥂 @chrisbrown and @thegreatkhalid https://t.co/UWoYzb72GP
10/22/2019 20:12,https://t.co/ctkrwlm2b3
10/19/2019 5:05,RT @BET: Happy Birthday #ChuckBerry! || 📸 Tim Clayton/Getty Images https://t.co/HxNkJvvhMP
10/17/2019 19:57,✨ 🎃 ✨ https://t.co/HGMyZI3tUd
10/16/2019 11:04,Ohhh Nooooo...ohhhh no no no noooo https://t.co/UQ1ZIWPIfW
10/16/2019 10:58,🍹 https://t.co/GKwT9D6fEw
10/14/2019 20:54,￼😎 https://t.co/m5OIh0pZT4
10/8/2019 18:41,Sending all of you love on this INTERNATIONAL HOLIDAY!🥂 Thank you for changing my life and giving me the opportunity to sing for y’all.❤️
9/23/2019 17:45,What I tell you about bath water??  😒 https://t.co/IyyzQbLN4F
9/23/2019 17:43,BOOM!!! 🔥 https://t.co/Uzr6zo2ajX
9/23/2019 17:41,I thought it was October 😔 https://t.co/UZPN2z7BBZ
9/23/2019 17:36,♎️  ‘Tis the season 😎
9/21/2019 22:10,Don’t ever dip your toes in someone else’s bath water.
9/21/2019 22:07,And another thing......
9/15/2019 23:30,And we out!!!! Thank you Vegas !!!!!🎲 🎲 https://t.co/OysaW7cs3r
9/15/2019 0:00,😂😂😂 WHAT? https://t.co/vxKavPgPP5
9/14/2019 1:55,Awwwww😂Get better Maggie!!! https://t.co/lZDpliQ4kI
9/12/2019 17:58,LETS GOOOOOO!!!! https://t.co/tGqE0jbiXn
9/11/2019 1:55,ITS ON NOW!!!! https://t.co/Y5LWYk0M8m
9/11/2019 1:30,This was the moment I saw The Weeknd’s New Mustache. https://t.co/ETGCiSBJC0
9/11/2019 1:23,🎶 woooo woooo woooo 🎶 https://t.co/bsHUuRbMsH
9/8/2019 22:42,What’s Happening? https://t.co/hAntsKmIwv
9/6/2019 16:42,💰 https://t.co/0aAF4CW9ye
9/1/2019 4:01,"RT @adtwinchester: Talking to the Moon - Bruno Mars

Nobody:

Hooligans: https://t.co/4OwdPkCDMg"
8/26/2019 20:03,When someone tells me they actually like The Lazy Song. 🥺 https://t.co/5jQDM8l72X
8/19/2019 17:35,#MondayMotivaton ✨✨✨ https://t.co/sI6Rk3ECdQ
8/17/2019 6:11,😂 https://t.co/nwtEYEmzfT
8/16/2019 11:30,✨✨✨
8/11/2019 1:06,🔥 https://t.co/86tdkFe2oe
8/8/2019 1:26,Just posted a photo https://t.co/XpzlPcAMUp
7/31/2019 18:25,"I love you Hawaii, and I'm with you. #protectmaunakea https://t.co/SnkUzREpjU"
7/29/2019 17:39,I see you Hooligans! love y’all. ❤️
7/24/2019 17:48,🧐 https://t.co/qk4OEkEtAU
7/22/2019 18:56,😜
7/22/2019 18:52,When being petty pays off. Thank you Hooligans. 🤗 https://t.co/gpAtF4S25I
7/21/2019 19:25,No it’s too late. You started it. https://t.co/XXQktFnQQK
7/21/2019 19:23,👏Nah https://t.co/myDiqAC7aL
7/21/2019 19:16,Is this some kind of sick joke? What world are we living in? Ugghh! Whatever it’s cool. I’m fine.  Seriously I’m fi… https://t.co/ET4J43jU1I
7/19/2019 19:33,Sometimes I be going through things.... But sometimes I get a lil sassy.... Fuck wit me! https://t.co/9EzwJyw281
7/19/2019 19:27,Straight Buggin! https://t.co/1iIifgHciN
7/19/2019 19:23,Forgive me https://t.co/cn2pmzFjys
7/19/2019 19:22,I wish I released “Chunky” as a single 😔 and “Calling all my lovelies” and  “too good to say goodbye” 😔and “perm” and “straight up &amp; down” 😔
7/16/2019 19:08,JULIO!! FEED THE HORSES!
